Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
Moldova,Central and Eastern Europe,55.0,5.897,5.8229999999999995,5.971,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,3.38007,2016
Russia,Central and Eastern Europe,56.0,5.856,5.789,5.922999999999999,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002,2.59115,2016
South Korea,Eastern Asia,57.0,5.835,5.747000000000001,5.922999999999999,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,2.35015,2016
Poland,Central and Eastern Europe,57.0,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016
Bolivia,Latin America and Caribbean,59.0,5.822,5.74,5.904,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2.91635,2016
Lithuania,Central and Eastern Europe,60.0,5.813,5.734,5.892,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2.60525,2016
Belarus,Central and Eastern Europe,61.0,5.8020000000000005,5.723,5.881,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003,2016
North Cyprus,Western Europe,62.0,5.771,5.67,5.872000000000001,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.9344700000000001,2016
Slovenia,Central and Eastern Europe,63.0,5.768,5.683,5.853,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016
Peru,Latin America and Caribbean,64.0,5.742999999999999,5.647,5.8389999999999995,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2.73117,2016
Turkmenistan,Central and Eastern Europe,65.0,5.6579999999999995,5.58,5.736000000000001,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2.21489,2016
Mauritius,Sub-Saharan Africa,66.0,5.648,5.507000000000001,5.789,1.14372,0.75695,0.66189,0.46145,0.05202999999999999,0.36951,2.20223,2016
Libya,Middle East and Northern Africa,67.0,5.615,5.406000000000001,5.824,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2.39374,2016
Latvia,Central and Eastern Europe,68.0,5.56,5.486000000000001,5.6339999999999995,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016
Cyprus,Western Europe,69.0,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,2016
Paraguay,Latin America and Caribbean,70.0,5.537999999999999,5.452999999999999,5.622999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016
Romania,Central and Eastern Europe,71.0,5.528,5.4270000000000005,5.629,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002,2016
Estonia,Central and Eastern Europe,72.0,5.517,5.437,5.597,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,1.81985,2016
Jamaica,Latin America and Caribbean,73.0,5.51,5.315,5.705,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2.35682,2016
Croatia,Central and Eastern Europe,74.0,5.4879999999999995,5.402,5.574,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2.52462,2016
Hong Kong,Eastern Asia,75.0,5.457999999999999,5.362,5.553999999999999,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097,0.92614,2016
Somalia,Sub-Saharan Africa,76.0,5.44,5.321000000000001,5.559,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225,3.8377199999999996,2016
Kosovo,Central and Eastern Europe,77.0,5.401,5.308,5.494,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016
Turkey,Middle East and Northern Africa,78.0,5.388999999999999,5.295,5.483,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2.29074,2016
Indonesia,Southeastern Asia,79.0,5.314,5.237,5.391,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2.03171,2016
Jordan,Middle East and Northern Africa,80.0,5.303,5.187,5.419,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016
Azerbaijan,Central and Eastern Europe,81.0,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,2016
Philippines,Southeastern Asia,82.0,5.279,5.16,5.398,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2.23484,2016
China,Eastern Asia,83.0,5.245,5.199,5.291,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2.17087,2016
Bhutan,Southern Asia,84.0,5.196000000000001,5.138,5.254,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006,1.82916,2016
Kyrgyzstan,Central and Eastern Europe,85.0,5.185,5.103,5.267,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2.28136,2016
Serbia,Central and Eastern Europe,86.0,5.1770000000000005,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,2.2753900000000002,2016
Bosnia and Herzegovina,Central and Eastern Europe,87.0,5.162999999999999,5.063,5.263,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.48406,2016
Montenegro,Central and Eastern Europe,88.0,5.1610000000000005,5.055,5.267,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2.2553099999999997,2016
Dominican Republic,Latin America and Caribbean,89.0,5.155,5.037,5.273,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,1.6962599999999999,2016
Morocco,Middle East and Northern Africa,90.0,5.151,5.058,5.244,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2.9489099999999997,2016
Hungary,Central and Eastern Europe,91.0,5.145,5.056,5.234,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999,2016
Pakistan,Southern Asia,92.0,5.132000000000001,5.038,5.226,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,2016
Lebanon,Middle East and Northern Africa,93.0,5.129,5.031000000000001,5.227,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2.0733900000000003,2016
Portugal,Western Europe,94.0,5.122999999999999,5.03,5.216,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,2016
Macedonia,Central and Eastern Europe,95.0,5.121,5.0169999999999995,5.225,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2.08947,2016
Vietnam,Southeastern Asia,96.0,5.061,4.9910000000000005,5.131,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,2016
Somaliland Region,Sub-Saharan Africa,97.0,5.0569999999999995,4.934,5.18,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2.43801,2016
Tunisia,Middle East and Northern Africa,98.0,5.045,4.965,5.125,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2.68413,2016
Greece,Western Europe,99.0,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944,2016
Tajikistan,Central and Eastern Europe,100.0,4.996,4.923,5.069,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106,2016
Mongolia,Eastern Asia,101.0,4.907,4.838,4.976,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,2016
Laos,Southeastern Asia,102.0,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2.08637,2016
Nigeria,Sub-Saharan Africa,103.0,4.875,4.75,5.0,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.8858599999999996,2016
Honduras,Latin America and Caribbean,104.0,4.871,4.75,4.992,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2.2955099999999997,2016
Iran,Middle East and Northern Africa,105.0,4.813,4.703,4.923,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,1.99817,2016
Zambia,Sub-Saharan Africa,106.0,4.795,4.645,4.945,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2.5899099999999997,2016
Nepal,Southern Asia,107.0,4.793,4.698,4.888,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,2016
Palestinian Territories,Middle East and Northern Africa,108.0,4.754,4.649,4.859,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364,2016
Albania,Central and Eastern Europe,109.0,4.655,4.546,4.763999999999999,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.9281599999999999,2016
Bangladesh,Southern Asia,110.0,4.643,4.56,4.726,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2.6090400000000002,2016
Sierra Leone,Sub-Saharan Africa,111.0,4.635,4.505,4.765,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,2016
Iraq,Middle East and Northern Africa,112.0,4.575,4.446000000000001,4.704,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,1.81657,2016
Namibia,Sub-Saharan Africa,113.0,4.574,4.374,4.774,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,1.92198,2016
Cameroon,Sub-Saharan Africa,114.0,4.513,4.417,4.609,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2.5198,2016
Ethiopia,Sub-Saharan Africa,115.0,4.508,4.425,4.591,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2.65614,2016
South Africa,Sub-Saharan Africa,116.0,4.459,4.371,4.547,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001,2016
Sri Lanka,Southern Asia,117.0,4.415,4.322,4.508,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,0.91681,2016
India,Southern Asia,118.0,4.404,4.351,4.457,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2.18032,2016
Myanmar,Southeastern Asia,119.0,4.395,4.327,4.463,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,1.50655,2016
Egypt,Middle East and Northern Africa,120.0,4.362,4.2589999999999995,4.465,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895,2016
Armenia,Central and Eastern Europe,121.0,4.36,4.266,4.454,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002,2016
Kenya,Sub-Saharan Africa,122.0,4.356,4.2589999999999995,4.453,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,1.88326,2016
Ukraine,Central and Eastern Europe,123.0,4.324,4.236000000000001,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016
Ghana,Sub-Saharan Africa,124.0,4.276,4.185,4.367,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2.2002,2016
Congo (Kinshasa),Sub-Saharan Africa,125.0,4.272,4.191,4.353,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004,2016
Georgia,Central and Eastern Europe,126.0,4.252,4.164,4.34,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,1.87031,2016
Congo (Brazzaville),Sub-Saharan Africa,127.0,4.236000000000001,4.107,4.365,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077,2.10681,2016
Senegal,Sub-Saharan Africa,128.0,4.218999999999999,4.151,4.287,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,1.9786099999999998,2016
Bulgaria,Central and Eastern Europe,129.0,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793,1.15377,2016
Mauritania,Sub-Saharan Africa,130.0,4.2010000000000005,4.127,4.275,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998,1.9263,2016
Zimbabwe,Sub-Saharan Africa,131.0,4.1930000000000005,4.101,4.285,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,2.4427,2016
Malawi,Sub-Saharan Africa,132.0,4.156000000000001,4.041,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016
Sudan,Sub-Saharan Africa,133.0,4.138999999999999,3.928,4.35,0.63069,0.8192799999999999,0.29759,0.0,0.10039,0.18077000000000001,2.10995,2016
Gabon,Sub-Saharan Africa,134.0,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996,1.4533200000000002,2016
Mali,Sub-Saharan Africa,135.0,4.073,3.988,4.158,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002,2.1108700000000002,2016
Haiti,Latin America and Caribbean,136.0,4.0280000000000005,3.8930000000000002,4.163,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958,2.3711599999999997,2016
Botswana,Sub-Saharan Africa,137.0,3.9739999999999998,3.875,4.073,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425,0.96741,2016
Comoros,Sub-Saharan Africa,138.0,3.9560000000000004,3.86,4.052,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827,2.25632,2016
Ivory Coast,Sub-Saharan Africa,139.0,3.9160000000000004,3.826,4.006,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016
Cambodia,Southeastern Asia,140.0,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,1.3157299999999998,2016
Angola,Sub-Saharan Africa,141.0,3.866,3.753,3.9789999999999996,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998,2.09459,2016
Niger,Sub-Saharan Africa,142.0,3.8560000000000003,3.781,3.931,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2.09469,2016
South Sudan,Sub-Saharan Africa,143.0,3.832,3.596,4.0680000000000005,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,0.25899,2.50929,2016
Chad,Sub-Saharan Africa,144.0,3.763,3.6719999999999997,3.8539999999999996,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667,2.3063700000000003,2016
Uganda,Sub-Saharan Africa,145.0,3.739,3.6289999999999996,3.8489999999999998,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102,1.51416,2016
Burkina Faso,Sub-Saharan Africa,145.0,3.739,3.647,3.8310000000000004,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002,1.8731900000000001,2016
Yemen,Middle East and Northern Africa,147.0,3.7239999999999998,3.6210000000000004,3.827,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821,1.97295,2016
Madagascar,Sub-Saharan Africa,148.0,3.695,3.6210000000000004,3.7689999999999997,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,0.2204,2.15075,2016
Tanzania,Sub-Saharan Africa,149.0,3.6660000000000004,3.5610000000000004,3.7710000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,1.3776899999999999,2016
Liberia,Sub-Saharan Africa,150.0,3.622,3.463,3.781,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063,2.23284,2016
Guinea,Sub-Saharan Africa,151.0,3.6069999999999998,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,2016
Rwanda,Sub-Saharan Africa,152.0,3.515,3.444,3.5860000000000003,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998,0.96819,2016
Benin,Sub-Saharan Africa,153.0,3.484,3.404,3.5639999999999996,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,2.10812,2016
Afghanistan,Southern Asia,154.0,3.36,3.2880000000000003,3.432,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,2.14558,2016
Togo,Sub-Saharan Africa,155.0,3.303,3.1919999999999997,3.4139999999999997,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,2.1354,2016
Syria,Middle East and Northern Africa,156.0,3.069,2.9360000000000004,3.202,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996,0.81789,2016
Burundi,Sub-Saharan Africa,157.0,2.905,2.7319999999999998,3.0780000000000003,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.1040400000000004,2016
Central African Republic,,,,,,,,,,,,,2016
Djibouti,,,,,,,,,,,,,2016
Lesotho,,,,,,,,,,,,,2016
Mozambique,,,,,,,,,,,,,2016
Oman,,,,,,,,,,,,,2016
Somaliland region,,,,,,,,,,,,,2016
Swaziland,,,,,,,,,,,,,2016
